compound_name,InChl,InChl Key,Canonical SMILES,Isomeric SMILES
MST997,"InChI=1S/C46H57NO15S/c1-23(2)58-42(55)47-33(29-18-13-19-63-29)34(50)41(54)59-28-21-46(56)38(61-40(53)27-14-9-8-10-15-27)36-44(7,30(49)20-31-45(36,22-57-31)62-25(4)48)37(51)35(32(24(28)3)43(46,5)6)60-39(52)26-16-11-12-17-26/h8-10,13-15,18-19,23,26,28,30-31,33-36,38,49-50,56H,11-12,16-17,20-22H2,1-7H3,(H,47,55)/t28-,30-,31+,33-,34+,35+,36-,38-,44+,45-,46+/m0/s1",SLGIWUWTSWJBQE-VLCCYYTCSA-N,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CS5)NC(=O)OC(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)OC(=O)C7CCCC7,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CS5)NC(=O)OC(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)OC(=O)C7CCCC7
HTI286,"InChI=1S/C27H43N3O4/c1-17(2)20(16-18(3)25(33)34)30(10)24(32)22(26(4,5)6)29-23(31)21(28-9)27(7,8)19-14-12-11-13-15-19/h11-17,20-22,28H,1-10H3,(H,29,31)(H,33,34)/b18-16+/t20-,21-,22-/m1/s1",CNTMOLDWXSVYKD-PSRNMDMQSA-N,CC(C)C(C=C(C)C(=O)O)N(C)C(=O)C(C(C)(C)C)NC(=O)C(C(C)(C)C1=CC=CC=C1)NC,CC(C)[C@@H](/C=C(\C)/C(=O)O)N(C)C(=O)[C@H](C(C)(C)C)NC(=O)[C@H](C(C)(C)C1=CC=CC=C1)NC
tadalafil,"InChI=1S/C22H19N3O4/c1-24-10-19(26)25-16(22(24)27)9-14-13-4-2-3-5-15(13)23-20(14)21(25)12-6-7-17-18(8-12)29-11-28-17/h2-8,16,21,23H,9-11H2,1H3/t16-,21-/m1/s1",WOXKDUGGOYFFRN-IIBYNOLFSA-N,CN1CC(=O)N2C(C1=O)CC3=C(C2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36,CN1CC(=O)N2[C@@H](C1=O)CC3=C([C@H]2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36
Sipholenone E,"InChI=1S/C30H50O4/c1-19-9-11-21-25(26(2,3)17-18-29(21,7)32)20(19)10-12-22-28(6)15-13-23(31)27(4,5)34-24(28)14-16-30(22,8)33/h10,19,21-22,24-25,32-33H,9,11-18H2,1-8H3/b20-10+/t19-,21+,22+,24+,25-,28+,29+,30+/m1/s1",DPIZIYOJDMMKNP-GKMAIPHXSA-N,C[C@@H]1CC[C@H]2[C@@H](/C1=C/C[C@@H]1[C@@](C)(O)CC[C@@H]3OC(C)(C)C(=O)CC[C@]31C)C(C)(C)CC[C@]2(C)O,C[C@@H]1CC[C@H]2[C@@H](/C1=C/C[C@@H]1[C@@](C)(O)CC[C@@H]3OC(C)(C)C(=O)CC[C@]31C)C(C)(C)CC[C@]2(C)O
Sipholenol L,"InChI=1S/C30H52O4/c1-19-9-11-21-25(26(2,3)17-18-29(21,7)32)20(19)10-12-22-28(6)15-13-23(31)27(4,5)34-24(28)14-16-30(22,8)33/h9,20-25,31-33H,10-18H2,1-8H3/t20-,21+,22+,23+,24+,25-,28+,29+,30+/m1/s1",KNWLCYSMHRPQLC-ZWULGDALSA-N,CC1=CCC2C(C1CCC3C4(CCC(C(OC4CCC3(C)O)(C)C)O)C)C(CCC2(C)O)(C)C,CC1=CC[C@H]2[C@@H]([C@@H]1CC[C@H]3[C@@]4(CC[C@@H](C(O[C@H]4CC[C@]3(C)O)(C)C)O)C)C(CC[C@]2(C)O)(C)C
Siphonellinol D,"InChI=1S/C30H52O4/c1-20(2)10-9-17-28(6)22(21(3)11-14-25(28)32)12-13-23-29(7)18-15-24(31)27(4,5)34-26(29)16-19-30(23,8)33/h10,23-26,31-33H,9,11-19H2,1-8H3/t23-,24-,25+,26-,28-,29-,30+/m0/s1",QNKHJWWGRVWAAY-ZBSBVWBTSA-N,CC1=C(C(C(CC1)O)(C)CCC=C(C)C)CCC2C3(CCC(C(OC3CCC2(C)O)(C)C)O)C,CC1=C([C@]([C@@H](CC1)O)(C)CCC=C(C)C)CC[C@H]2[C@@]3(CC[C@@H](C(O[C@H]3CC[C@@]2(C)O)(C)C)O)C
Sipholenol J,"InChI=1S/C30H50O5/c1-18-19(25-20(17-21(18)31)29(7,33)16-15-26(25,2)3)9-10-22-28(6)13-11-23(32)27(4,5)35-24(28)12-14-30(22,8)34/h9,18,20,22-25,32-34H,10-17H2,1-8H3/b19-9+/t18-,20-,22-,23-,24-,25+,28-,29-,30-/m0/s1",MHHGQQXZBFDTSD-WSBLRCOQSA-N,CC1C(=O)CC2C(C1=CCC3C4(CCC(C(OC4CCC3(C)O)(C)C)O)C)C(CCC2(C)O)(C)C,C[C@@H]\1C(=O)C[C@H]2[C@@H](/C1=C/C[C@H]3[C@@]4(CC[C@@H](C(O[C@H]4CC[C@]3(C)O)(C)C)O)C)C(CC[C@]2(C)O)(C)C
motesanib,"InChI=1S/C22H23N5O/c1-22(2)14-26-19-12-16(5-6-18(19)22)27-21(28)17-4-3-9-24-20(17)25-13-15-7-10-23-11-8-15/h3-12,26H,13-14H2,1-2H3,(H,24,25)(H,27,28)",RAHBGWKEPAQNFF-UHFFFAOYSA-N,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C,
osimertinib,"InChI=1S/C28H33N7O2/c1-7-27(36)30-22-16-23(26(37-6)17-25(22)34(4)15-14-33(2)3)32-28-29-13-12-21(31-28)20-18-35(5)24-11-9-8-10-19(20)24/h7-13,16-18H,1,14-15H2,2-6H3,(H,30,36)(H,29,31,32)",DUYJMQONPNNFPI-UHFFFAOYSA-N,CN1C=C(C2=CC=CC=C21)C3=NC(=NC=C3)NC4=C(C=C(C(=C4)NC(=O)C=C)N(C)CCN(C)C)OC,
cabazitaxel,"InChI=1S/C45H57NO14/c1-24-28(57-39(51)33(48)32(26-17-13-11-14-18-26)46-40(52)60-41(3,4)5)22-45(53)37(58-38(50)27-19-15-12-16-20-27)35-43(8,36(49)34(55-10)31(24)42(45,6)7)29(54-9)21-30-44(35,23-56-30)59-25(2)47/h11-20,28-30,32-35,37,48,53H,21-23H2,1-10H3,(H,46,52)/t28-,29-,30+,32-,33+,34+,35-,37-,43+,44-,45+/m0/s1",BMQGVNUXMIRLCK-OAGWZNDDSA-N,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)OC)C)OC,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)OC)C)OC
ribociclib,"InChI=1S/C23H30N8O/c1-29(2)22(32)19-13-16-14-26-23(28-21(16)31(19)17-5-3-4-6-17)27-20-8-7-18(15-25-20)30-11-9-24-10-12-30/h7-8,13-15,17,24H,3-6,9-12H2,1-2H3,(H,25,26,27,28)",RHXHGRAEPCAFML-UHFFFAOYSA-N,CN(C)C(=O)C1=CC2=CN=C(N=C2N1C3CCCC3)NC4=NC=C(C=C4)N5CCNCC5,
pd0325901,"InChI=1S/C16H14F3IN2O4/c17-11-3-2-10(16(25)22-26-7-9(24)6-23)15(14(11)19)21-13-4-1-8(20)5-12(13)18/h1-5,9,21,23-24H,6-7H2,(H,22,25)/t9-/m1/s1",SUDAHWBOROXANE-SECBINFHSA-N,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOCC(CO)O,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O
mek162,"InChI=1S/C17H15BrF2N4O3/c1-24-8-21-16-13(24)7-10(17(26)23-27-5-4-25)15(14(16)20)22-12-3-2-9(18)6-11(12)19/h2-3,6-8,22,25H,4-5H2,1H3,(H,23,26)",ACWZRVQXLIRSDF-UHFFFAOYSA-N,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)F)C(=O)NOCCO,
A-803467,"InChI=1S/C19H16ClNO4/c1-23-15-9-14(10-16(11-15)24-2)21-19(22)18-8-7-17(25-18)12-3-5-13(20)6-4-12/h3-11H,1-2H3,(H,21,22)",VHKBTPQDHDSBSP-UHFFFAOYSA-N,COC1=CC(=CC(=C1)NC(=O)C2=CC=C(O2)C3=CC=C(C=C3)Cl)OC,
WHI‐P154,"InChI=1S/C16H14BrN3O3/c1-22-14-6-10-12(7-15(14)23-2)18-8-19-16(10)20-9-3-4-13(21)11(17)5-9/h3-8,21H,1-2H3,(H,18,19,20)",CBIAKDAYHRWZCU-UHFFFAOYSA-N,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)O)Br)OC,
icotinib,"InChI=1S/C22H21N3O4/c1-2-16-4-3-5-17(12-16)25-22-18-13-20-21(14-19(18)23-15-24-22)29-11-9-27-7-6-26-8-10-28-20/h1,3-5,12-15H,6-11H2,(H,23,24,25)",QQLKULDARVNMAL-UHFFFAOYSA-N,C#CC1=CC(=CC=C1)NC2=NC=NC3=CC4=C(C=C32)OCCOCCOCCO4,
telatinib,"InChI=1S/C20H16ClN5O3/c1-22-19(27)16-10-12(6-8-23-16)11-29-20-17-15(7-9-28-17)18(25-26-20)24-14-4-2-13(21)3-5-14/h2-10H,11H2,1H3,(H,22,27)(H,24,25)",QFCXANHHBCGMAS-UHFFFAOYSA-N,CNC(=O)C1=NC=CC(=C1)COC2=NN=C(C3=C2OC=C3)NC4=CC=C(C=C4)Cl,
CCTA-2,,,CCOc1ccccc1c2cccc(NC(=O)C(Cl)Cl)c2,
CCTA-3,,,CCOc2ccc(c1cccc(NC(=O)C(Cl)Cl)c1)cc2,
CCTA-5,,,CSc2cccc(c1cccc(NC(=O)C(Cl)Cl)c1)c2,
CCTA-7,,,O=C(Nc2cccc(c1ccccc1CO)c2)C(Cl)Cl,
CCTA-8,,,O=C(Nc2cccc(c1cccc(CO)c1)c2)C(Cl)Cl,
CCTA-9,,,O=C(Nc2cccc(c1ccc(CO)cc1)c2)C(Cl)Cl,
CCTA-10,,,O=C(Nc2cccc(c1ccccc1OC(F)(F)F)c2)C(Cl)Cl,
CCTA-11,,,O=C(Nc2cccc(c1cccc(OC(F)(F)F)c1)c2)C(Cl)Cl,
CCTA-13,,,CCCc1ccccc1c2cccc(NC(=O)C(Cl)Cl)c2,
CCTA-14,,,O=C(Nc2cccc(c1cccc(N(=O)=O)c1)c2)C(Cl)Cl,
CCTA-20,,,COc2ccc(c1cccc(NC(=O)C(Cl)Cl)c1)c(OC)c2,
CCTA-21,,,COc2ccc(OC)c(c1cccc(NC(=O)C(Cl)Cl)c1)c2,
CCTA-22,,,COc1cccc(OC)c1c2cccc(NC(=O)C(Cl)Cl)c2,
CCTA-23,,,COc2ccc(c1cccc(NC(=O)C(Cl)Cl)c1)cc2OC,
CCTA-27,,,O=C(Nc3cccc(c2ccc(OC1CCCCO1)cc2)c3)C(Cl)Cl,
CCTA-31,,,COc2ccc(c1cccc(NC(=O)C(Cl)Cl)c1)cc2F,
CCTA-32,,,COc2cc(F)cc(c1cccc(NC(=O)C(Cl)Cl)c1)c2,
CCTA-33,,,CCOc2ccc(c1cccc(NC(=O)C(Cl)Cl)c1)cc2F,
CCTA-34,,,CS(=O)(=O)c2ccc(c1cccc(NC(=O)C(Cl)Cl)c1)cc2,
CCTA-37,,,COc2cccc(c1cccc(NC(=O)C(Cl)Cl)c1)c2,
CCTA-40,,,Cc2ccc(c1cccc(NC(=O)C(Cl)Cl)c1)cc2F,
CCTA-41,,,Cc2cc(c1cccc(NC(=O)C(Cl)Cl)c1)ccc2F,
CCTA-42,,,O=C(Nc2cccc(c1cccc(F)c1F)c2)C(Cl)Cl,
CCTA-43,,,O=C(Nc2cccc(c1ccc(F)c(F)c1)c2)C(Cl)Cl,
CCTA-45,,,O=C(Nc2cccc(c1cc(F)cc(F)c1)c2)C(Cl)Cl,
CCTA-46,,,O=C(Nc2cccc(c1cc(F)c(F)c(F)c1)c2)C(Cl)Cl,
CCTA-47,,,O=C(Nc2cccc(c1cc(F)ccc1F)c2)C(Cl)Cl,
CCTA-48,,,O=C(Nc2cccc(c1ccc(F)c(F)c1F)c2)C(Cl)Cl,
CCTA-49,,,O=C(Nc3cccc(c2ccc(c1ccccc1)c(F)c2)c3)C(Cl)Cl,
